Item Name,Price,Description
Cappuccino,$5,
Mocha,$6,"Milk chocolate, espresso, and steamed milk. 16 oz."
White Chocolate Mocha,$6,"White chocolate, espresso, and steamed milk. 16 oz."
Chai with Steamed Milk,$5,
Caramel Macchiato,$6,"Espresso with vanilla syrup, steamed milk, and caramel sauce topping."
Banana or Vanilla Cold Foam,$6,w/ Espresso (16 oz)
House Blend,$4,
Double Espresso,$4,
Cafe Latte,$5,
Dirty Chai,$6,Chai with steamed milk and espresso. 16 oz.
Affogato,$7,Vanilla bean ice cream topped with a double shot of espresso and chocolate candy sprinkles.
Fruit & Yogurt Parfait,$7,Seasonal berries with granola and low-fat vanilla yogurt.
Bagel w/ Butter or Cream Cheese,$6/$7,Served with jam
Breakfast Burrito,$10,"Bacon, sausage, scrambled eggs and cheese in a flour tortilla. Served with sour cream and salsa."
Breakfast Croissant,$8,"Bacon or ham, cheddar cheese and fried egg on a flakey croissant."
Sun Burn,$6.95,Mango & passion fruit with strawberry bottom
Blue Hawaiian,$6.95,"Fresh bananas, blueberries and low-fat vanilla ice cream"
Lava Flow,$6.95,"Pineapple, coconut & banana with a strawberry bottom"
Jamaican Me Crazy,$6.95,"Passion fruit, strawberry, and mango"
Frozen Mocha Java,$6.95,Whipped topping available upon request
White Chocolate Frozen Mocha,$6.95,Whipped topping available upon request
Caramel Frozen Mocha,$6.95,Whipped topping available upon request
Frozen Dirty Chai,$6.95,Whipped topping available upon request
Southwest Caesar Salad,$15,"Romaine lettuce, chicken, crunchy tortilla strips and parmesan cheese. Served in a flour tortilla bowl."
Cilantro-Lime Chicken Salad,$15,"Romaine lettuce, roasted corn, black beans, jack cheese, crunchy tortilla strips, avocado and cotija cheese. Served with cilantro-lime vinaigrette."
Roast Beef Panini,$14,"Roast beef with grilled onions and mushrooms, mozzarella cheese on parmesan panini bread."
Italian Chicken Panini,$14,"Chicken, pesto, mozzarella cheese and roasted red peppers on panini bread."
Turkey Grill,$14,"Turkey, melted swiss, avocado, lettuce, tomato, and mayo on grilled sourdough."
Jalapeno Tuna,$14,"Home-made tuna salad, swiss cheese, tomato, and fried jalapenos on your choice of bread. Served cold or grilled."
Chicken Pita Pocket,$14,"Chicken, cucumbers, lettuce, tomato, and red onions in a pita pocket. Served with cucumber ranch."
Southwest Caesar Wrap,$14,"Chicken, romaine lettuce, tomato, tortilla strips, and parmesan cheese in a spinach tortilla."
Chicken Salad BLT,$14,"Chicken salad, crispy bacon, lettuce, tomato, and mayo on a flaky croissant."
"The ""Robby""",$15,"Pulled chicken, stuffing, cranberry sauce and mayo on panini bread."
Iced Tea 20 Oz,$4,
Tropical Iced Tea 20 Oz,$4,
Lemonade 20 Oz,$4,
Twisted Lemonades 20 Oz,$5,"Choice of lavender, strawberry, blueberry, mango, or passionfruit"
Sunkissed Tea 20 Oz,$4,Tropical tea & lemonade